fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
06091,3005,963,0.320465890183028,0.14,0,0.26,3.4
06093,43539,11379,0.261351891407703,0.132,4,14.16,7.2
06095,447643,73156,0.163424872052059,0.043,92,273.55,503.0
06097,494336,102323,0.206990791688244,0.022,82,204.19,307.1
06099,550660,73921,0.13424072930665,0.032,88,438.74,344.2
06101,96971,15095,0.155665095750276,0.058,0,92.52,157.3
06103,65084,12780,0.196361624976953,0.057,8,40.1,21.5
06105,12285,3475,0.282865282865283,0.081,0,2.84,4.3
06107,466195,54291,0.116455560441446,0.025,51,390.68,91.7
06109,54478,14709,0.269998898637982,0.008,6,59.94,24.9
06111,846006,136705,0.161588688496299,0.024,139,621.0,446.7
06113,220500,28508,0.12928798185941,0.007,14,106.71,197.9
06115,78668,10270,0.130548634768902,0.057,24,54.1,114.2
08001,517421,55528,0.107316865763083,0.032,168,321.39,378.2
08003,16233,2254,0.138852953859422,0.052,6,9.87,21.4
08005,656590,88508,0.134799494357209,0.013,127,339.52,716.7
08007,14029,3834,0.273291039988595,0.041,0,7.81,8.9
08009,3581,875,0.244345154984641,0.113,0,2.65,1.5
08011,5577,1053,0.188811188811189,0.033,0,27.1,4.3
08013,326196,48358,0.148248292437676,0.008,72,105.58,405.6
08014,70465,10075,0.142978783793373,0.018,20,23.13,1691.9
08015,20356,5298,0.260267243073295,0.038,2,11.52,17.6
08017,1831,385,0.210267613326051,0.016,0,0.84,1.0
08019,9700,2070,0.21340206185567,0.002,0,2.77,23.0
08021,8205,1633,0.199024984765387,0.06,0,4.58,6.4
08023,3887,1047,0.269359403138667,0.034,0,2.48,2.9
08025,6061,850,0.140240884342518,0.002,0,13.1,7.4
08027,5068,1673,0.330110497237569,0.017,0,2.32,5.8
08029,31162,8352,0.26801874077402,0.087,6,29.26,27.1
08031,727211,86835,0.119408259776048,0.02,227,331.94,3922.6
08033,2055,538,0.261800486618005,0.052,0,0.97,1.9
08035,351154,43602,0.124167744066706,0.013,54,152.71,339.7
08037,55127,6836,0.124004571262721,0.008,5,31.32,31.0
08039,26729,4602,0.172172546672154,0.016,0,11.71,12.5
08041,720403,95178,0.132117717444264,0.031,95,422.16,292.6
08043,47839,10594,0.221451117289241,0.006,4,58.16,30.5
08045,60061,8288,0.137993040408918,0.065,5,51.45,19.1
08047,6243,1112,0.178119493833093,0.001,0,1.23,36.3
08049,15734,2905,0.184632007118342,0.006,0,7.9,8.0
08051,17462,2384,0.136525025770244,0.057,0,7.1,4.7
08053,820,258,0.314634146341463,0.043,0,0.16,0.8
08055,6897,2216,0.321299115557489,0.028,0,3.13,4.2
08057,1392,324,0.232758620689655,0.021,0,0.35,0.9
08059,582881,98793,0.169490856624251,0.028,94,271.26,699.5
08061,1406,324,0.230440967283073,0.028,0,1.58,0.8
08063,7097,1385,0.195152881499225,0.024,0,4.29,3.8
08065,8127,1188,0.146179401993355,0.002,0,4.68,19.4
08067,56221,10249,0.182298429412497,0.043,11,27.03,30.3
08069,356899,57774,0.161877730114122,0.013,55,150.71,115.4
08071,14506,3686,0.254101750999586,0.052,0,7.74,3.2
08073,5701,1004,0.17610945448167,0.013,0,20.71,2.1
08075,22409,4056,0.180998705877103,0.078,4,31.97,12.4
08077,154210,30368,0.196926269372933,0.075,44,97.39,44.1
08079,769,258,0.335500650195059,0.049,0,0.19,0.8
08081,13283,2116,0.159301362643981,0.041,0,7.16,2.9
08083,26183,6004,0.229309093686743,0.057,4,16.06,12.6
08085,42758,10302,0.240937368445671,0.085,8,31.23,18.4
08087,29068,4529,0.155807073070043,0.083,6,14.13,22.0
08089,18278,3780,0.20680599627968,0.004,506,29.35,14.9
08091,4952,1350,0.272617124394184,0.06,0,1.16,8.2
08093,18845,4070,0.215972406473866,0.021,0,4.74,7.4
08095,4265,993,0.232825322391559,0.05,0,2.87,6.5
08097,17767,3606,0.202960544830303,0.019,4,17.23,17.7
08099,12172,2201,0.180824843904042,0.079,0,11.19,7.7
08101,168424,31933,0.189598869519783,0.018,32,140.71,66.7
08103,6324,1034,0.163504111321948,0.111,0,3.84,2.1
08105,11267,2351,0.208662465607526,0.061,0,4.55,13.1
08107,25638,4264,0.166315625243779,0.008,4,11.52,10.0
08109,6824,1674,0.245310668229777,0.065,0,1.06,1.9
08111,728,188,0.258241758241758,0.032,0,0.26,1.8
08113,8179,1265,0.154664384399071,0.043,0,5.84,5.7
08115,2248,610,0.27135231316726,0.065,0,0.45,4.3
08117,31011,4433,0.142949276063332,0.0,8,18.74,46.0
08119,25388,5888,0.231920592405861,0.105,0,10.87,41.9
08121,4908,1048,0.213528932355338,0.077,0,3.1,1.9
08123,324492,40351,0.124351293714483,0.046,26,177.97,63.4
08125,10019,1872,0.18684499451043,0.038,0,6.81,4.2
09001,943332,153951,0.163199170599534,0.027,173,565.55,1467.2
09003,891720,155502,0.17438433589019,0.015,216,568.74,1216.2
09005,180333,39654,0.219893197584469,0.017,21,94.48,206.3
09007,162436,34075,0.209774926740378,0.003,24,90.74,448.6
09009,854757,152623,0.178557180578808,0.023,186,555.87,1426.7
09011,265206,49835,0.187910529927679,0.025,32,144.19,412.2
09013,150721,24571,0.163023069114457,0.008,16,59.1,372.2
09015,116782,20033,0.17154184720248,0.022,6,80.77,230.9
10001,180786,31623,0.174919518104278,0.026,29,128.48,276.9
10003,558753,89961,0.161003162399128,0.027,119,410.0,1263.2
10005,234225,67322,0.287424485003736,0.005,38,141.23,210.6
12001,269043,39272,0.145969231684155,0.001,210,95.32,282.7
12003,29210,4117,0.140944881889764,0.087,0,13.68,46.3
12005,174705,32535,0.186228213273804,0.065,77,108.52,222.6
